EPS,Index,Sector,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4
Operating,400,Utilities,4.65,2.48,4.74,3.48,4.45,2.75,5.01,3.36,5.65,2.41,6.10,3.58,5.11,3.05,5.62,3.45,4.43,3.86,7.19,4.24,5.34,4.08,7.11,4.99,6.65,4.02,7.14,4.89,6.40,3.98,6.25,5.23,7.40,3.76,6.84,4.27
Operating,600,Index,3.70,4.28,3.51,-1.27,0.68,1.83,2.26,2.85,3.45,4.28,4.86,4.40,4.74,5.36,5.26,5.23,5.28,5.51,5.58,5.25,5.81,6.32,6.28,6.92,5.90,6.90,6.78,7.20,4.93,5.45,4.59,7.95,7.96,8.97,9.49,10.08
Operating,600,Consumer Discretionary,1.06,1.42,0.53,-0.90,0.48,0.57,2.42,1.70,2.33,2.66,3.23,1.98,2.90,3.17,3.89,3.14,3.35,4.06,4.01,2.73,4.14,4.78,4.50,4.41,3.74,4.34,5.01,5.72,4.55,5.25,5.76,5.86,5.39,6.30,7.25,7.54
Operating,600,Consumer Staples,4.11,8.11,5.98,5.04,7.47,9.05,7.75,3.80,8.88,10.07,7.75,8.07,6.94,10.38,9.46,9.88,12.39,12.04,11.92,10.53,12.80,8.74,12.86,12.80,10.34,17.33,16.73,20.46,18.36,17.24,17.62,17.16,18.65,22.64,21.44,22.58
Operating,600,Energy,16.13,21.06,33.26,-35.78,-4.28,6.89,6.14,-1.67,11.49,11.79,16.21,7.01,13.89,21.51,16.78,8.98,12.30,2.78,2.45,-1.89,8.67,16.24,9.62,-2.18,4.80,-4.27,-28.84,-39.21,-60.98,-63.35,-94.57,-7.70,-5.39,-4.91,-4.04,-4.63
Operating,600,Financials,3.15,2.56,-1.17,-10.69,-4.43,-1.31,-5.89,0.56,1.55,2.20,3.72,2.24,3.55,4.72,4.95,6.26,6.54,6.50,7.09,7.70,8.14,8.74,8.86,8.77,8.03,9.52,10.05,10.61,8.09,9.38,9.25,10.61,10.58,11.26,11.53,11.96
Operating,600,Health Care,4.65,5.96,5.21,5.93,5.15,5.85,6.88,7.05,6.52,7.98,7.76,9.44,7.89,8.54,9.64,11.36,8.38,9.09,10.04,10.85,7.98,9.21,11.51,9.92,8.31,12.64,10.92,14.97,9.72,10.90,9.09,12.34,11.20,14.29,14.45,17.53
Operating,600,Industrials,6.11,8.38,7.61,4.00,2.75,4.56,5.11,4.04,2.86,5.98,6.16,5.97,6.03,7.09,6.94,6.11,6.68,7.56,7.70,7.74,7.25,8.34,8.61,8.42,7.39,8.96,8.84,9.05,8.22,10.07,9.70,9.81,8.95,12.00,12.50,11.64
Operating,600,Information Technology,1.93,1.77,1.49,-0.76,-0.65,0.09,1.47,1.88,2.08,2.79,3.27,3.52,2.60,3.01,2.50,2.27,1.63,2.24,2.31,2.39,1.97,2.56,2.66,4.68,2.42,2.65,4.10,3.81,2.67,3.76,4.48,5.29,5.38,6.49,7.09,7.52
Operating,600,Materials,-0.23,4.77,4.26,-3.57,0.01,2.89,3.75,3.17,2.85,4.20,3.18,2.71,3.67,4.97,4.18,2.91,3.61,5.64,4.00,1.12,3.17,3.46,1.99,3.41,2.41,5.29,6.25,4.84,2.84,2.59,4.18,2.67,3.73,4.97,5.69,5.03
Operating,600,Telecommunications,0.07,0.49,0.12,-0.22,0.07,-0.01,0.03,0.02,0.03,0.04,0.04,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.03,-0.01,0.02,0.03,0.03,0.00,0.01,0.18,-0.01,0.00,0.02,0.02,0.03,0.01,0.02,0.03,0.03,0.02
Operating,600,Utilities,10.21,2.25,3.73,8.26,9.93,2.26,2.15,8.92,11.21,3.26,4.71,8.47,12.27,4.52,3.57,9.90,11.70,3.19,4.01,10.18,11.92,4.86,3.71,9.99,15.60,4.01,3.41,13.75,14.81,3.76,3.65,12.49,16.53,4.52,2.44,12.82
Reported,500,Index,15.54,12.86,9.73,-23.25,7.52,13.51,14.76,15.18,17.48,19.68,19.52,20.67,21.44,22.24,22.63,20.64,23.03,21.62,21.21,20.65,24.22,24.87,24.63,26.48,24.87,27.14,27.47,22.83,21.81,22.80,23.22,,,,,
Reported,500,Consumer Discretionary,2.03,-3.28,-1.18,-11.28,0.45,3.14,3.11,3.79,3.81,4.36,3.95,4.54,4.40,5.02,4.76,8.18,4.73,4.79,5.49,6.21,5.63,5.96,5.92,6.79,5.80,6.37,6.56,8.36,5.89,6.89,7.28,,,,,
Reported,500,Consumer Staples,3.71,3.53,4.49,2.51,3.48,4.33,4.46,4.28,3.99,4.64,4.50,5.96,4.71,5.08,4.97,4.26,4.62,5.16,5.26,5.91,5.04,5.56,6.42,5.67,4.95,5.75,5.49,4.81,5.02,5.49,6.96,,,,,
Reported,500,Energy,12.09,13.12,19.70,-9.76,-0.27,4.20,5.89,6.19,8.27,9.74,8.50,9.03,10.72,12.53,11.89,9.65,11.71,13.38,9.80,9.59,10.76,11.71,10.11,9.24,9.98,11.41,11.69,2.15,-1.80,-1.50,-6.01,,,,,
Reported,500,Financials,-0.81,-2.53,-10.71,-23.91,-0.25,1.95,1.18,-0.27,3.49,3.44,2.40,3.44,3.60,2.48,4.32,3.68,3.97,4.14,3.73,3.72,4.71,5.28,4.27,4.67,4.88,5.15,4.98,4.09,5.97,5.69,5.65,,,,,
Reported,500,Health Care,5.58,5.71,5.18,2.62,5.89,6.09,6.73,6.90,5.41,6.17,5.62,5.26,6.53,7.11,6.39,5.28,7.19,5.48,6.71,5.71,7.06,6.96,7.05,6.36,7.47,8.60,7.47,8.09,7.82,8.38,8.00,,,,,
Reported,500,Industrials,4.94,5.53,5.22,1.93,2.45,3.28,2.88,3.94,3.32,4.48,4.58,4.71,4.61,5.36,5.12,5.08,5.39,5.96,5.15,3.97,5.47,5.72,6.16,8.03,5.50,6.69,6.72,6.45,2.55,6.46,7.64,,,,,
Reported,500,Information Technology,4.16,4.82,3.82,0.02,1.53,2.99,4.29,6.26,5.39,5.83,6.58,7.76,6.93,7.29,6.24,8.60,7.81,4.31,5.95,9.17,7.92,7.16,7.96,9.36,7.81,8.10,9.23,10.96,8.66,6.59,8.44,,,,,
Reported,500,Materials,4.27,4.52,2.95,-11.16,0.82,1.18,2.41,1.47,2.69,3.24,4.00,2.83,4.66,5.06,3.89,0.94,3.83,4.13,2.04,1.18,4.15,3.51,2.10,1.63,4.30,4.27,3.42,1.11,2.87,3.31,0.80,,,,,
Reported,500,Telecommunications,1.89,2.20,1.93,0.99,1.78,1.80,1.60,0.67,0.92,1.36,4.34,1.11,1.79,1.71,1.79,-3.43,1.74,1.74,1.88,-3.42,2.06,1.85,2.11,5.06,3.27,3.01,2.62,-2.22,2.80,2.74,2.49,,,,,
Reported,500,Utilities,3.32,2.82,3.78,1.69,2.37,2.40,3.47,4.12,3.04,2.84,3.09,2.07,2.83,3.14,3.74,1.44,2.33,2.47,2.72,1.61,2.01,2.03,3.73,1.99,2.62,2.44,4.27,2.17,3.67,2.81,3.45,,,,,
Reported,400,Index,8.94,7.23,6.42,-17.92,-1.98,6.11,7.85,8.56,8.70,9.22,11.21,10.01,10.06,11.90,10.22,10.27,11.26,11.94,12.41,10.07,12.05,13.70,13.36,13.73,12.05,15.04,9.31,10.98,11.23,10.36,7.31,,,,,
Reported,400,Consumer Discretionary,0.80,1.16,-2.73,-5.56,1.60,1.53,3.26,4.57,3.48,4.07,4.26,3.96,3.24,3.85,3.98,6.40,4.91,4.57,6.20,6.41,4.88,6.15,6.31,8.56,3.72,5.37,6.56,11.71,5.10,5.71,3.39,,,,,
Reported,400,Consumer Staples,6.07,6.77,7.73,5.86,5.35,4.61,7.71,9.20,7.08,9.02,9.80,11.18,10.91,9.35,2.87,11.86,10.52,11.73,8.40,14.77,9.05,9.84,20.87,13.85,12.81,10.84,6.74,10.75,3.51,13.13,-10.70,,,,,
Reported,400,Energy,13.50,12.95,30.08,-58.80,-21.74,2.30,7.39,3.76,10.40,7.99,7.77,6.46,7.11,11.92,12.63,8.79,9.33,-1.62,3.21,0.96,8.04,10.82,2.03,2.12,10.07,8.09,12.48,-13.51,-3.39,-30.73,-34.73,,,,,
Reported,400,Financials,4.53,-0.24,0.40,-5.68,3.03,4.09,3.21,3.81,3.51,4.32,4.81,5.92,3.37,5.87,4.33,5.70,5.94,5.90,7.25,7.03,7.61,6.71,7.05,8.48,8.60,8.89,7.40,9.98,8.25,9.11,8.51,,,,,
Reported,400,Health Care,4.21,5.61,3.23,-0.97,-7.01,4.11,4.16,4.95,4.12,3.66,3.44,3.34,4.64,5.82,7.44,6.68,4.24,6.18,6.16,3.41,4.61,7.12,-1.10,2.83,3.56,8.52,4.63,6.35,8.88,10.98,8.40,,,,,
Reported,400,Industrials,4.52,5.73,1.71,-3.00,-1.65,2.80,3.36,3.63,3.64,5.67,5.74,3.81,5.19,6.38,4.79,4.55,6.43,7.66,6.83,2.16,6.53,8.76,9.57,7.49,6.61,10.17,9.45,1.86,6.21,10.70,7.00,,,,,
Reported,400,Information Technology,8.30,3.35,6.08,-52.81,-4.23,5.08,5.80,9.44,9.11,4.45,14.44,15.04,12.98,13.99,10.76,1.72,8.67,14.84,9.94,11.53,7.27,9.10,9.22,9.09,5.19,10.08,10.72,8.95,5.04,5.19,9.87,,,,,
Reported,400,Materials,3.53,3.95,4.21,-3.72,1.00,2.42,2.87,2.23,2.01,4.51,4.32,2.99,4.19,4.17,1.18,3.35,3.79,4.15,2.77,3.39,4.20,4.64,5.73,4.63,3.20,4.65,-14.16,-0.28,3.91,2.21,1.79,,,,,
Reported,400,Telecommunications,2.81,3.78,4.34,-4.64,3.31,3.20,2.40,0.94,1.66,5.93,1.81,0.88,1.51,2.89,2.40,0.31,2.08,1.80,1.49,-0.70,0.45,4.94,-0.61,0.32,0.84,-0.29,,-1.62,14.36,1.91,4.17,,,,,
Reported,400,Utilities,4.84,2.16,5.01,2.43,3.12,2.65,4.43,3.05,5.99,2.44,5.64,3.07,5.09,2.93,5.73,3.98,4.34,3.74,6.61,3.50,5.33,3.99,6.59,4.90,6.61,3.96,6.98,4.82,4.21,1.75,3.44,,,,,
Reported,600,Index,3.12,1.61,0.25,-11.31,-1.92,0.69,1.45,2.04,3.00,3.29,4.07,3.62,4.10,4.61,3.59,3.38,4.73,3.72,4.58,3.30,4.68,5.34,5.54,5.37,4.85,5.44,5.72,4.78,3.14,3.89,2.67,,,,,
Reported,600,Consumer Discretionary,0.86,-3.30,-5.08,-15.62,-0.95,-0.85,1.80,1.38,2.21,2.01,2.96,1.40,2.42,2.68,3.45,2.50,3.21,3.01,4.53,-0.17,3.52,4.94,4.45,2.96,3.00,3.19,3.90,4.45,4.31,4.10,2.66,,,,,
Reported,600,Consumer Staples,2.54,1.69,-7.49,3.00,3.17,6.25,5.09,-8.88,3.41,6.20,6.46,5.79,5.91,9.51,9.05,9.33,11.41,9.21,11.10,9.78,12.77,5.59,9.02,9.24,4.35,16.11,14.71,19.32,17.58,16.28,16.37,,,,,
Reported,600,Energy,15.83,20.05,32.11,-70.70,-9.48,2.26,4.69,-1.44,8.93,11.55,15.00,6.40,11.84,20.34,15.72,8.33,10.95,1.90,3.97,-4.48,7.90,10.17,4.70,-8.17,4.91,-5.70,-28.15,-47.57,-61.66,-64.60,-105.99,,,,,
Reported,600,Financials,1.87,0.26,-6.49,-16.74,-6.92,-1.54,-7.26,0.53,1.49,0.83,2.30,1.43,3.35,3.18,4.63,5.27,5.95,5.17,6.94,7.53,7.43,7.77,8.77,7.99,7.60,9.21,9.49,10.66,6.48,7.64,7.90,,,,,
Reported,600,Health Care,4.39,3.57,5.03,2.65,3.03,5.78,5.87,5.75,5.60,7.20,5.73,8.32,5.35,6.25,-5.45,2.98,6.92,8.05,7.55,7.49,0.83,7.20,6.48,1.20,6.51,8.59,7.80,12.02,5.87,8.49,9.69,,,,,
Reported,600,Industrials,5.71,7.73,7.10,-5.25,-0.42,3.25,3.76,2.43,2.41,4.00,4.62,3.88,5.62,6.69,6.24,4.84,6.19,6.64,2.95,7.54,6.72,6.55,8.82,7.63,6.66,6.74,7.26,4.61,6.21,7.87,5.76,,,,,
Reported,600,Information Technology,1.18,0.32,0.28,-6.23,-2.64,-0.92,0.99,1.53,1.82,2.26,3.21,3.08,2.27,2.78,1.86,0.82,1.14,1.54,1.87,-0.06,1.61,1.72,2.06,3.94,1.28,1.84,3.62,1.38,2.13,2.25,4.23,,,,,
Reported,600,Materials,-0.50,0.66,0.97,-17.01,-5.77,1.91,4.89,2.91,2.53,4.04,2.73,3.63,2.39,4.74,3.05,0.01,2.92,-3.02,3.08,-0.17,1.25,3.17,1.16,3.19,1.41,3.30,4.91,0.04,-4.22,0.97,4.02,,,,,
Reported,600,Telecommunications,0.05,0.20,-0.19,-0.60,-0.02,-0.02,0.03,0.01,0.03,0.04,0.05,0.05,0.06,0.03,0.04,-0.05,0.03,0.03,0.03,-0.08,-0.01,0.02,0.02,-0.02,0.01,0.10,0.01,-0.04,0.00,0.08,0.05,,,,,
Reported,600,Utilities,10.19,2.22,3.67,8.10,10.12,2.29,2.02,9.61,10.99,3.10,4.08,8.21,12.20,4.29,3.10,9.84,11.56,3.12,3.59,10.71,11.84,4.78,3.52,9.90,15.33,3.78,2.66,13.52,14.37,3.58,3.28,,,,,
